ID,NAME,SCORE
433, Yurtseven,35
3, Aldama,34
71, Butler,34
82, Chiozza,34
315, Omoruyi,34
120, Elleby,33
215, Jones,33
219, Kalaitzakis,32
15, Augustin,31
209, Johnson,31
65, Brown,30
173, Hernangomez,30
376, Smith,30
46, Bol,29
103, Deck,29
230, Kuminga,29
238, Lee,29
302, Nnaji,29
233, Landale,27
304, Nowell,27
154, Green,25
250, Luwawu-Cabarrot,25
128, Flynn,24
262, Martin,24
372, Sims,23
81, Champagnie,22
204, Joe,22
221, Kanter,22
264, Mays,22
291, Mulder,22
288, Morris Sr.,21
377, Snell,21
29, Bassey,20
198, Jackson,20
272, McGruder,20
370, Sharpe,20
48, Bonga,19
313, Okpala,19
245, Lopez,18
392, Tillie,18
436, Ellington,18
365, Scrubb,17
47, Bolmaro,16
168, Haslem,16
225, Knight,16
226, Knox II,16
229, Krejci,16
247, Louzada,15
19, Bagley III,14
52, Bouknight,14
127, Fitts,14
275, McLemore,14
317, Oni,14
387, Thomas,14
394, Todd,14
402, Valentine,14
50, Boston Jr.,13
125, Fernando,13
156, Grimes,13
189, Hughes,13
191, Hutchison,13
265, McBride,13
327, Pickett,13
339, Primo,13
414, Washington Jr.,13
91, Cooper,12
123, Fall,12
136, Garrett,12
236, Layman,12
8, Alvarado,11
101, Davis,11
214, Jones,11
320, Pangos,11
298, Nembhard Jr.,10
76, Carey Jr.,9
113, Dowtin,9
187, Howard,9
273, McLaughlin,9
390, Thor,9
429, Wright IV,9
437, Metu,9
438, Jones,9
17, Ayayi,0
92, Cornelie,0
105, Dekker,0
172, Henry,0
202, Jarreau,0
207, Johnson,0
366, Selden,0
378, Springer,0
388, Thomas,0
