FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Jeff Dowtin,Gol,G,24.49,1,1.9,4,0,,0,0,0,0,0,0,0,0,0,1,27.1,0,0,0,0,0,0,,
P.J. Dozier,Den,G-F,25.03,8,17.8,37.1,12.8,9.7,3,0.333,17,0.471,19,0.316,0.472,0.469,4.4,2.4,7.3,1.4,10.3,0.75,0.38,0.5,5.5,98.5,99.4
Goran Dragic,Tor,G,35.5,4,15.4,32.1,18.1,3.8,8,1,13,0.385,9,0.222,0.364,0.47,6,2.5,8.7,1.5,13.5,0.5,0.25,0.25,7.3,113.1,98.7
Andre Drummond,Phi,C,28.24,8,18.1,37.7,20.3,26.4,17,0.706,39,0.487,1,0,0.475,0.527,6.3,9.4,29.2,2.6,20,1.75,0.75,2.13,11.8,108.6,87.3
Chris Duarte,Ind,G,24.4,10,34,70.7,20.8,11,13,0.923,81,0.457,59,0.424,0.532,0.552,16.1,4.4,7.1,2.4,10.5,1,0.1,1.8,6.5,104.8,108
Kevin Durant,Bro,F,33.1,9,34.7,72.3,32.2,12.4,54,0.778,133,0.632,41,0.366,0.612,0.645,28.3,8.8,13.1,5.2,30.7,0.78,0.89,3.11,12.6,118.4,101.5
Anthony Edwards,Min,G,20.26,8,35.3,73.5,30.3,11.1,24,0.792,97,0.495,77,0.299,0.474,0.498,23,6.5,9.3,3.4,18.1,1.38,0.63,2.88,9,98.8,104
CJ Elleby,Por,F-G,21.39,5,5.2,10.9,18,27.3,0,0,5,0.4,3,0.333,0.438,0.438,1.4,1.4,14.3,0.2,5.1,0,0,0.6,5.6,66.6,100.4
Joel Embiid,Phi,C-F,27.64,8,30.5,63.5,31.9,12.3,70,0.8,91,0.44,28,0.321,0.45,0.544,20.4,8.8,16.1,4.1,20.6,1,1.38,2.63,11.8,112.1,102.3
Drew Eubanks,San,F-C,24.76,9,13.2,27.5,17.5,20.3,14,0.714,31,0.484,2,0,0.455,0.511,4.4,3.9,15.7,1.2,12,0.56,1.11,1.11,8.3,97.2,92.9
Tacko Fall,Cle,C,25.91,1,1.9,4,45.4,50,0,0,1,0,0,0,0,0,0,2,55.8,0,0,0,0,1,0,0,0
Derrick Favors,Okc,F,30.31,7,18.4,38.3,14,7.2,6,0.833,35,0.571,1,1,0.597,0.621,6.9,6,16.6,0.3,2.6,0.29,0.14,0.43,5,127.8,101.6
Bruno Fernando,Bos,F-C,23.23,3,2,4.2,14.6,100,0,0,0,0,0,0,0,0,0,0,0,0.3,21.5,0,0.33,0.67,0,0,0
Dorian Finney-Smith,Dal,F,28.51,8,31.8,66.3,14.9,12.4,10,0.7,33,0.485,40,0.2,0.384,0.407,7.9,5.6,8.9,1.1,5.3,1.38,0.75,1.38,4.6,91.3,95.5
Malik Fitts,Uta,F,20,3,2.3,4.9,0,0,0,0,0,0,0,0,0,0,0,0.7,14.7,0,0,0,0,0,0,0,0
Malachi Flynn,Tor,G,23.49,6,4.8,10,10.2,0,0,0,4,0.25,3,0.667,0.571,0.571,1.3,0.5,5.6,0.8,23.9,0.67,0,0,6.7,145,92.4
Bryn Forbes,San,G,28.29,9,12.4,25.9,19.2,13.8,4,0.5,17,0.412,25,0.4,0.524,0.526,5.1,0.8,3.3,0.3,3.6,0.11,0,0.78,3.5,90.5,104.3
Trent Forrest,Uta,G,23.4,4,8.9,18.5,5.9,40,0,0,3,0.667,0,0,0.667,0.667,1,1,5.8,0.8,11,0,0,0.5,4.2,97.6,96.8
